CPR (Cardio-pulmonary Resuscitation) | RCP (reanimación cardiopulmonar)
Umbilical cord | cordón umbilical
Untrained midwife | partera no capacitada
Uterine cramps, after-pains | calambres uterinos, dolores después del parto
Uterine tenderness | sensibilidad uterina
Vaginal bleeding | sangrado vaginal
Vaginal cream | crema vaginal
Vaginal discharge | flujo vaginal
Vaginal dryness | sequedad vaginal
Vaginal jelly | gel vaginal
Vaginal lubricant | lubricante vaginal
Vaginal yeast infection | infección vaginal por hongos
Varicose veins | venas varicosas
Water soluble lubricant | lubricante soluble en agua
Watery discharge | flujo acuoso
Wean, to | destetar
Witch hazel | hamamelis
1st Stage Labour | primera etapa del trabajo de parto
2nd Stage Labour | segunda etapa del trabajo de parto
3rd Stage Labour | tercera etapa del trabajo de parto
Additional shots | vacunas adicionales
Booster shots | dosis de refuerzo
Bronchitis | bronquitis
By mouth | por vía oral
Chicken pox (Varicella) | varicela
Diphtheria-Tetanus-Pertussis (DTP) Three-in-one shot/baby shot | difteria-tétanos-tos ferina (DTP) vacuna triple / vacuna infantil
Drops | gotas
German measles | rubéola
Give a shot, to | poner una inyección
Haemophiles, Influenza, Meningitis | Haemophilus influenzae, meningitis
Hepatitis B | hepatitis B
Immunization | inmunización
Immunization chart | calendario de vacunación
Immunization-booster dose | dosis de refuerzo de inmunización
Immunize, to | inmunizar
Jaundice | ictericia
Malaria | malaria
Measles | sarampión
Meningitis | meningitis
Mumps | paperas
Pneumonia | neumonía
Polio | polio
Rabies | rabia
Rubella | rubéola
Scarlet fever | escarlatina
Shot | inyección
Shot chart / shot record | registro de vacunas
Small pox or smallpox | viruela
Tetanus | tétanos
Tonsillitis | amigdalitis
Tuberculosis (BCG) | tuberculosis (BCG)
Typhoid | tifoidea
Typhoid fever | fiebre tifoidea
Vaccinate, to | vacunar
Vaccination | vacunación
Whooping cough | tos ferina
Yellow fever | fiebre amarilla
Andropause | andropausia
Erectile dysfunction | disfunción eréctil
Foreskin | prepucio
Glands | glándulas
Jock itch | tiña inguinal
Jock strap | suspensorio
Penis | pene
Prostate | próstata
Scrotum | escroto
Testicles | testículos
Vasectomy | vasectomía
Blood smear | frotis de sangre
Blood test, blood work | análisis de sangre
CAT scan (computerized axial tomography) | tomografía axial computarizada (TAC)
CBC complete blood count | hemograma completo (CBC)
CT scan (computed tomography) | tomografía computarizada (TC)
ECG Electrocardiogram | electrocardiograma (ECG)
EEG electroencephalogram | electroencefalograma (EEG)
ELISA test | prueba de ELISA
Eye exam | examen de la vista
Fasting blood sugar | glucosa en ayunas
Glucose tolerance test | prueba de tolerancia a la glucosa
Hearing test | examen de audición
MRI Magnetic Resonance Imaging | resonancia magnética (MRI)
Pelvic examination | examen pélvico
Physical Therapy (PT) | fisioterapia
Post-operative tests | pruebas postoperatorias
Pre-operative tests | pruebas preoperatorias
Pulmonary function test | prueba de función pulmonar
RBC red blood count | recuento de glóbulos rojos
Rectal examination | examen rectal
Serum glutamic oxaloacetic transaminase (SGOT) | transaminasa glutámico oxalacética (SGOT)
Skin test | prueba cutánea
Sonogram | ecografía
SR sedimentation rate | velocidad de sedimentación globular
Stool specimen | muestra de heces
Stress test | prueba de esfuerzo
Urine routine, urinalysis | análisis de orina rutinario
WBC white blood count | recuento de glóbulos blancos
