CPR (Cardio-pulmonary Resuscitation) | الإنعاش القلبي الرئوي
Dull pain | ألم خفيف / باهت
Ear ache | ألم الأذن
Ear lobe | شحمة الأذن
Ear tube | أنبوب الأذن
Ear wax | صملاخ / شمع الأذن
Emergency room (ER) | غرفة الطوارئ
Emphysema | انتفاخ الرئة
Endoscopy | تنظير داخلي
Enema | حقنة شرجية
Epidural | فوق الجافية / إيبيدورال
Eye drops | قطرات العين
Family history | التاريخ العائلي
Fasting | صيام / صائم
Faeces | براز
Fever | حمى
Fever blister | بثرة الحمى / قوباء
Flu | إنفلونزا
Food allergy | حساسية غذائية
Fractured | مكسور
Front desk | مكتب الاستقبال
Gauze | شاش
General practitioner | طبيب عام
Glucose tests | اختبارات الجلوكوز
Gnawing pain | ألم قارض
Gown / hospital gown | ثوب المستشفى
Gynaecologist | طبيب نساء
Hacking cough | كحة شديدة / جافة
Hay fever | حمى القش
Headache | صداع
Health | صحة
Heart attack | نوبة قلبية
Heart murmur | لغط القلب
Heavy lifting | رفع الأشياء الثقيلة
Height | طول / ارتفاع
Hernia | فتق
High blood pressure | ارتفاع ضغط الدم
Hives | شرى / أرتيكاريا
Hoarse | أجش
Hospital gown | ثوب المستشفى
Household chemicals | مواد كيميائية منزلية
Hurt | ألم / يؤلم
Hypersensitivity | فرط الحساسية
Immunoglobulin E (IGE) | الغلوبولين المناعي E
Infection | عدوى / التهاب
Inflammation | التهاب
Inhaler | جهاز استنشاق
Inpatient | مريض داخلي / مقيم
Insulin | إنسولين
Intensive care unit | وحدة العناية المركزة
Irregular pulse | نبض غير منتظم
Itch | حكة
Itching | حكة
Joint | مفصل
Laparoscopy | تنظير البطن
Laser surgery | جراحة بالليزر
Ligament | رباط
Lower back pain | ألم أسفل الظهر
Lump | كتلة
Maternity ward | قسم الولادة
Medical excuse | عذر طبي
Medical history | التاريخ الطبي
Medicated compress | كمادة طبية
Medication | دواء
Middle ear infection | التهاب الأذن الوسطى
Mold | عفن
Nasal spray | بخاخ الأنف
Nauseating pain | ألم مسبب للغثيان
Nostril | فتحة الأنف
Numbing pain | ألم مخدر
Nurse | ممرضة
Nursery | حضانة / غرفة حديثي الولادة
Nurses’ station | محطة التمريض
Operate, to | إجراء عملية
Operating room (OR) | غرفة العمليات
Operation | عملية
Outpatient | مريض خارجي
Over-the-counter medication | دواء بدون وصفة
Oxygen | أكسجين
Pain | ألم
Pass out | فقدان الوعي / إغماء
Penicillin | بنسلين
Physical exam | فحص بدني
Pills | حبوب
Plugged ear | انسداد الأذن
Pollen allergy | حساسية حبوب اللقاح
Prescription | وصفة طبية
Pressure | ضغط
Private room | غرفة خاصة
Pulse | نبض
Radiology | الأشعة
Rashe(s) | طفح جلدي
Recovery room | غرفة الإفاقة
Redness | احمرار
Rest | راحة
Rheumatic fever | حمى روماتيزمية
Scab | قشرة الجرح
Scar | ندبة
Scratch | خدش
Scrub, to (surgically) | غسل جراحي / تعقيم
Seizure | نوبة / تشنج
Sexually transmitted disease | مرض منقول جنسياً
Sharp pain | ألم حاد
Shiver | رجفة / قشعريرة
Shortness of breath | ضيق التنفس
Sinus infection | التهاب الجيوب الأنفية
Sleepy | نعسان
Sling | حمالة / رباط معلق
Sore, cold | قرحة / برد
Sprain | التواء
Stethoscope | سماعة الطبيب
Stitches | غرز
Stomach flu | إنفلونزا المعدة
Strain | إجهاد / شد
Strenuous activity | نشاط شاق
Strep throat | التهاب الحلق العقدي
Stroke | سكتة دماغية
Stuffed-up | محتقن / مسدود
Stutter | تلعثم
Surgeon | جراح
Surgery | جراحة
Surgical procedure | إجراء جراحي
Suture | خياطة / غرزة
Sweat | عرق
Symptoms | أعراض
Syringe | محقنة
Tablets | أقراص
Temperatures | درجات الحرارة
Thyroid | الغدة الدرقية
Triage nurse | ممرضة الفرز
Tubal ligation | ربط الأنابيب
Tube | أنبوب
Tuberculosis | السل
Ulcer | قرحة
Undergo surgery, to | الخضوع لعملية جراحية
Urinalysis | تحليل البول
Urinary bladder | المثانة البولية
Urinary problem | مشكلة بولية
Urinary tract | المسالك البولية
Urinating | تبول
Urine | بول
urine test | تحليل البول
vital signs | العلامات الحيوية
Vitamins | فيتامينات
Waiting room | غرفة الانتظار
Watery eyes | عيون دامعة
Weight | وزن
Wheezing | أزيز / صفير
x-ray unit | وحدة الأشعة السينية
Abdomen | البطن
Adam’s apple | تفاحة آدم
Adrenal glands | الغدد الكظرية
Amniotic fluid | السائل الأمنيوسي
Ankle | الكاحل
Anus | الشرج
Appendix | الزائدة الدودية
Armpit | الإبط
Arms | الذراعان
Artery | شريان
Back | الظهر
Backbone | العمود الفقري
Belly button | السرة
Big toe | إصبع القدم الكبير
Bile | الصفراء
Bladder | المثانة
Bodily fluids | سوائل الجسم
Bone marrow | نخاع العظم
Bowel movement | التبرز
Brain | الدماغ
Brain stem | جذع الدماغ
Breast | الثدي
Buttock | الأرداف
Calf | ربلة الساق
Canal | قناة
Cartilage | غضروف
Cheek | الخد
Cheekbone | عظم الوجنة
Chest | الصدر
Chin | الذقن
Collar bone | عظم الترقوة
Colon | القولون
Diaphragm | الحجاب الحاجز
Dimple | غمازة
Duct | قناة
Ear | الأذن
Elbow | الكوع
Esophagus | المريء
Eye | العين
Eye ball | مقلة العين
Eye lid | جفن العين
Eye socket | محجر العين
Eyelashes | الرموش
Femur | عظم الفخذ
Finger | إصبع
Fingertip | طرف الإصبع
Forearm | الساعد
Forehead | الجبهة
Gall bladder | المرارة
Genitals | الأعضاء التناسلية
Groin | المنطقة الإربية
Hair | الشعر
Hands | اليدان
Heart | القلب
Heel | الكعب
Hip | الورك
Index finger | السبابة
Jaw | الفك
Kidney | الكلية
Knee | الركبة
Knuckle | مفصل الأصبع
Large intestine | الأمعاء الغليظة
Larynx | الحنجرة
Legs | الساقان
Limb | طرف
Lips | الشفاه
Liver | الكبد
Lungs | الرئتان
Lymph gland | غدة لمفاوية
Lymph node | عقدة لمفاوية
Mammary glands | الغدد الثديية
Middle finger | الإصبع الأوسط
Mouth | الفم
Muscle | عضلة
Nails | الأظافر
Nape | مؤخرة العنق
Neck | الرقبة
Nipple | الحلمة
Ovaries | المبيضان
Palm | راحة اليد
Pancreas | البنكرياس
Phlegm | البلغم
Plasma | البلازما
Rectum | المستقيم
Rib | الضلع
Ribcage | القفص الصدري
Saliva | اللعاب
Scalp | فروة الرأس
Scapula | لوح الكتف
Shin | الظنبوب
Shoulder | الكتف
Shoulder blade | لوح الكتف
Skull | الجمجمة
Small intestine | الأمعاء الدقيقة
Spinal column | العمود الفقري
Spine | العمود الفقري
Spleen | الطحال
Sputum | البلغم
Stomach | المعدة
Stomach lining | بطانة المعدة
Teeth | الأسنان
Temple | الصدغ
Toes | أصابع القدم
Tonsils | اللوزتان
Thorax | الصدر
Throat | الحلق
Thumb | الإبهام
Thyroid gland | الغدة الدرقية
Trachea | القصبة الهوائية
Tract | مسار / قناة
Uterine lining | بطانة الرحم
Uterus | الرحم
Vein | وريد
Waist | الخصر
Windpipe | القصبة الهوائية
Womb | الرحم
Wrist | الرسغ
Abdominal delivery | ولادة بطنية / قيصرية
Abdominal pregnancy | حمل بطني
Abortion | إجهاض
Afterbirth | المشيمة / الخلاص
Amniocentesis | بزل السلى
Anguish | ضيق / كرب
At term birth | ولادة في موعدها
Bear down, to | الدفع / الضغط أثناء الولادة
Bed pan | قصرية السرير
Bed rest | راحة في السرير
Birth | ولادة
Birth canal | قناة الولادة
Birth control | تحديد النسل
Birth injury | إصابة الولادة
Bleeding | نزيف
Bloated | انتفاخ
Block | انسداد
Bodily changes | تغيرات جسدية
Bottle-feed | إرضاع بالزجاجة
Bowel movement, stools | تبرز / براز
Breast mass | كتلة في الثدي
Breast milk | حليب الأم
Breast pump | مضخة الثدي
Breast self-examination | الفحص الذاتي للثدي
Breast tenderness | ألم / حساسية الثدي
Breast-care | العناية بالثدي
Breastfeed | إرضاع طبيعي / رضاعة
Breech delivery | ولادة مقعدية
Cervical pregnancy | حمل عنقي
Cervix | عنق الرحم
Cesarean delivery | ولادة قيصرية
Charley horse | تشنج عضلي
Chills | قشعريرة
Colic | مغص
Colostrum | اللبأ
Complicated labor | ولادة معقدة
Condom | عازل ذكري / واقي
Congested, to be | احتقان
Cracked nipples | تشقق الحلمات
Cradle | مهد / سرير أطفال
Cramps, stomach | تقلصات المعدة
Crankiness | انفعال / مزاجية
Crib | سرير الأطفال
C-section / Caesarian section | عملية قيصرية
D&C dilation and curettage | توسيع وكحت
Dead birth | ولادة ميتة
Deliver | توليد / إنجاب
Delivery | ولادة
Delivery room | غرفة الولادة
Delivery table | طاولة الولادة
Depo-Provera shot | حقنة ديبو-بروفيرا
Dermo Plast spray | بخاخ ديرمو بلاست
Diaper rash | طفح الحفاض
Diarrhea | إسهال
Discharge instructions | تعليمات الخروج
Douche | غسول مهبلي
Drainage | تصريف / إفراز
Dry labor | ولادة جافة
Dryness | جفاف
Due date | تاريخ الولادة المتوقع
Dysmenorrhea | عسر الطمث
Dysuria | عسر التبول
Ear infection | التهاب الأذن
Ectopic pregnancy | حمل خارج الرحم
Egg | بويضة
Endometriosis | بطانة الرحم المهاجرة
Endometrium | بطانة الرحم
Engorged, to be | احتقان / امتلاء
Epidural anesthesia | تخدير فوق الجافية
Episiotomy | بضع الفرج
Estrogen replacement treatment | علاج بديل بالإستروجين
Express out the milk, to | إخراج الحليب / حلب الثدي
Fallopian tube | قناة فالوب
False labor | ولادة كاذبة
Family planning | تنظيم الأسرة
Female sterility | عقم أنثوي
Fertility counseling | استشارات الخصوبة
Fertilization treatment | علاج الإخصاب
Fibroid | ورم ليفي
Fibrous tumor | ورم ليفي
Forceps delivery | ولادة بالملقط
Foul smell of vaginal discharge | رائحة كريهة للإفرازات المهبلية
Frigidity | برود جنسي
FSH follicle stimulating hormone | الهرمون المنبه للجريب
Genetic counseling | استشارات وراثية
Genetic trend | ميل / اتجاه وراثي
Genitalia | الأعضاء التناسلية
Gestational diabetes | سكري الحمل
Give birth, to | الولادة / الإنجاب
Grip | قبضة / إمساك
Growth and development | النمو والتطور
Hemorrhage | نزيف
Hemorrhoids | بواسير
Hind milk, to | الحليب الخلفي
Hormonal treatment | علاج هرموني
Hot and cold spells | نوبات حرارة وبرودة
Hot flashes | هبات ساخنة
Hysterectomy | استئصال الرحم
Ibuprofen | إيبوبروفين
Ice pack | كمادة ثلج
Increased pain of episiotomy | زيادة ألم بضع الفرج
Induced abortion | إجهاض محرض
Induced labor | تحريض الولادة
Infertile | عاقر / غير خصب
Inhalers, puffers | أجهزة استنشاق / بخاخات
Intrauterine device (IUD) | اللولب الرحمي
In-vitro fertilization | التلقيح الصناعي / أطفال الأنابيب
Itchiness | حكة
Labia | الشفران
Labor | مخاض / ولادة
Labor pains | آلام المخاض
Labor room | غرفة المخاض
Labor, to be in | في المخاض
Lactation | إرضاع / إفراز الحليب
Lamaze method | طريقة لاماز
Latched on (to breast) | التقام الثدي
Lethargic | خامل / خمول
Lice | قمل
Lip of the pudendum | شفر الفرج
Listlessness | وهن / فتور
Live-birth | ولادة حية
LOP Length of pregnancy | مدة الحمل
Lukewarm | فاتر
Mammogram, mammography | تصوير الثدي الشعاعي
Menopause | انقطاع الطمث
Menstruation period, period | دورة شهرية / طمث
Midwife | قابلة / مولدة
Milk pump | مضخة الحليب
Milk supply | إدرار الحليب
Miscarriage | إجهاض تلقائي
Mood swings | تقلبات المزاج
Morning sickness | غثيان الصباح
Morning-after pill | حبوب الصباح التالي
Mucus | مخاط
Multiple birth | ولادة متعددة
Multiple pregnancy | حمل متعدد
Narrow hips | حوض ضيق
Nebulizer | جهاز تنفس بالبخار
Night sweats | تعرق ليلي
Nipple discharge | إفرازات الحلمة
Norplant (contraceptive implant) | نوربلانت / زرعة مانع حمل
Nursing pads | وسادات الإرضاع
Oral contraceptive | حبوب منع الحمل الفموية
Ovarian pregnancy | حمل مبيضي
Ovary | مبيض
Overactive bladder | مثانة مفرطة النشاط
Oviduct | قناة فالوب
Painkiller | مسكن
Pap smear | مسحة عنق الرحم
Parturient | امرأة في المخاض
Pass a clot, to | إخراج جلطة
Patch | لاصقة
Permanent sterility | عقم دائم
PMS - Pre-Menstrual Syndrome | متلازمة ما قبل الطمث
Postpartum depression (baby blues) | اكتئاب ما بعد الولادة
Post-term birth | ولادة بعد الأوان
Precipitate labor | ولادة سريعة
Pregnancy | حمل
Pregnant | حامل
Premature | مبتسر / مبكر
Premature birth | ولادة مبكرة
Premature labor, delivery | مخاض / ولادة مبكرة
Prenatal | قبل الولادة
Prolonged labor | مخاض مطول
Pump out the milk, to | شفط الحليب
Rash | طفح جلدي
Runny nose | سيلان الأنف
Sanitary napkins/pads | فوط صحية
Scraping | كحت
Sitz-baths | حمامات مقعدية
Sore nipples | حلمات مؤلمة
Sore throat | التهاب الحلق
Sperm | حيوان منوي
Spitting up | تقيؤ / قشط
Spontaneous abortion | إجهاض تلقائي
Spontaneous labor | مخاض تلقائي
Spotting | تنقيط
Staples | مشابك جراحية
Sterility | عقم
Steri-strips | شرائط سترى
Still-born | مولود ميت
Stool problem | مشكلة في البراز
Stool softener | ملين للبراز
Stuffed, to be | احتقان / انسداد
Tampons | سدادات قطنية
Therapeutic abortion | إجهاض علاجي
Threaten abortion | تهديد بالإجهاض
Tiredness | تعب
Trained midwife | قابلة مدربة
Tubal pregnancy | حمل أنبوبي
Tummy | بطن
Twin pregnancy | حمل توأمي
Ultrasound | تصوير بالموجات فوق الصوتية
Umbilical cord | الحبل السري
Untrained midwife | قابلة غير مدربة
Uterine cramps, after-pains | تقلصات الرحم / آلام بعد الولادة
Uterine tenderness | حساسية / ألم الرحم
Vaginal bleeding | نزيف مهبلي
Vaginal cream | كريم مهبلي
Vaginal discharge | إفرازات مهبلية
Vaginal dryness | جفاف المهبل
Vaginal jelly | هلام مهبلي
Vaginal lubricant | مزلق مهبلي
Vaginal yeast infection | عدوى فطرية مهبلية
Varicose veins | دوالي الساقين
Water soluble lubricant | مزلق قابل للذوبان في الماء
Watery discharge | إفرازات مائية
Wean, to | فطام
Witch hazel | بندق الساحرة
1st Stage Labour | المرحلة الأولى من المخاض
2nd Stage Labour | المرحلة الثانية من المخاض
3rd Stage Labour | المرحلة الثالثة من المخاض
Additional shots | جرعات إضافية
Booster shots | جرعات معززة
Bronchitis | التهاب الشعب الهوائية
By mouth | عن طريق الفم
Chicken pox (Varicella) | جدري الماء
Diphtheria-Tetanus-Pertussis (DTP) Three-in-one shot/baby shot | الخناق-الكزاز-السعال الديكي (DTP) جرعة ثلاثية / جرعة الرضيع
Drops | قطرات
German measles | الحصبة الألمانية
Give a shot, to | إعطاء حقنة
Haemophiles, Influenza, Meningitis | المستدمية النزلية، الإنفلونزا، التهاب السحايا
Hepatitis B | التهاب الكبد ب
Immunization | تحصين
Immunization chart | جدول التحصين
Immunization-booster dose | جرعة معززة للتحصين
Immunize, to | تحصين
Jaundice | يرقان
Malaria | ملاريا
Measles | حصبة
Meningitis | التهاب السحايا
Mumps | النكاف
Pneumonia | التهاب رئوي
Polio | شلل الأطفال
Rabies | داء الكلب
Rubella | الحصبة الألمانية
Scarlet fever | حمى قرمزية
Shot | حقنة
Shot chart / shot record | سجل الحقن / جدول التطعيم
Small pox or smallpox | الجدري
Tetanus | كزاز
Tonsillitis | التهاب اللوزتين
Tuberculosis (BCG) | السل (BCG)
Typhoid | التيفود
Typhoid fever | حمى التيفود
Vaccinate, to | تطعيم
Vaccination | تطعيم
Whooping cough | السعال الديكي
Yellow fever | الحمى الصفراء
Andropause | انقطاع الطمث الذكري / أندروبوز
Erectile dysfunction | ضعف الانتصاب
Foreskin | القلفة
Glands | غدد
Jock itch | حكة الرياضي / فطريات الأربية
Jock strap | حزام رياضي / دعامة
Penis | القضيب
Prostate | البروستاتا
Scrotum | كيس الصفن
Testicles | الخصيتان
Vasectomy | قطع القناة المنوية
Blood smear | مسحة دم
Blood test, blood work | تحليل الدم
CAT scan (computerized axial tomography) | تصوير مقطعي محوسب (CAT)
CBC complete blood count | تعداد الدم الكامل (CBC)
CT scan (computed tomography) | تصوير مقطعي محوسب (CT)
ECG Electrocardiogram | تخطيط القلب الكهربائي (ECG)
EEG electroencephalogram | تخطيط الدماغ الكهربائي (EEG)
ELISA test | اختبار ELISA
Eye exam | فحص العين
Fasting blood sugar | سكر الدم الصائم
Glucose tolerance test | اختبار تحمل الجلوكوز
Hearing test | اختبار السمع
MRI Magnetic Resonance Imaging | تصوير بالرنين المغناطيسي (MRI)
Pelvic examination | فحص الحوض
Physical Therapy (PT) | علاج طبيعي
Post-operative tests | اختبارات ما بعد الجراحة
Pre-operative tests | اختبارات ما قبل الجراحة
Pulmonary function test | اختبار وظائف الرئة
RBC red blood count | تعداد كريات الدم الحمراء
Rectal examination | فحص المستقيم
Serum glutamic oxaloacetic transaminase (SGOT) | إنزيم SGOT / ناقلة أمين الأسبارتات
Skin test | اختبار جلدي
Sonogram | تصوير بالموجات فوق الصوتية
SR sedimentation rate | سرعة ترسيب الدم
Stool specimen | عينة براز
Stress test | اختبار الإجهاد
Urine routine, urinalysis | تحليل البول الروتيني
WBC white blood count | تعداد كريات الدم البيضاء
